Word vec size: 317756
Using 28 threads
the of 2.18965
the to 2.64984
the and 2.80219
the in 2.19309
the a 2.81374
the for 2.62976
the that 2.89199
the on 2.23339
the with 2.75087
the as 2.26445
the it 2.68938
the from 2.712
the an 2.86643
the has 2.85207
the but 2.89603
the this 2.4104
the which 1.93759
the its 2.54041
the one 2.23918
the new 2.93805
the also 2.54675
the first 2.52951
the over 2.9487
the into 2.83133
the time 2.89478
the only 2.68468
the while 2.98737
the where 2.65988
the now 2.74385
the made 2.90738
the under 2.81617
the well 2.61998
the both 2.72398
the part 1.97371
the end 2.9799
the later 2.92936
the another 2.58338
the called 2.74243
the set 2.78923
the however 2.62638
the same 2.36366
the place 2.88144
the took 2.83777
the held 2.9716
the own 2.93782
the came 2.558
the following 2.84152
the put 2.9922
the although 2.68386
the though 2.97301
the once 2.74815
the main 2.88671
the given 2.94101
the taken 2.68168
the full 2.77704
the instead 2.98577
the similar 2.91252
the saw 2.89374
the brought 2.84562
the followed 2.8342
the created 2.94082
the rest 2.90329
the entire 2.50864
of the 2.18965
of and 2.46957
of in 2.11737
of for 2.86698
of is 2.97325
of with 2.94502
of as 2.48952
of from 2.69287
of this 2.67954
of which 1.9454
of its 2.89691
of one 2.68431
of also 2.69554
of only 2.93683
of where 2.80768
of well 2.69654
of including 2.91164
of both 2.82593
of part 2.29646
of however 2.9001
of same 2.50225
of although 2.88183
of given 2.90624
of whose 2.96912
of similar 2.86105
of brought 2.81804
of example 2.63309
of present 2.63032
of created 2.89935
of addition 2.86552
of particular 2.84857
of instance 2.99932
to the 2.64984
to and 2.56644
to in 2.90685
to for 2.22387
to that 2.5052
to on 2.34399
to with 2.76361
to as 2.48652
to it 2.37282
to from 2.42859
to be 2.6601
to but 2.27474
to not 2.46432
to this 2.72984
to they 2.50317
to which 2.47058
to will 2.39698
to their 2.81175
to or 2.90138
to one 2.66676
to also 2.58699
to would 1.97451
to up 2.56595
to when 2.50318
to there 2.91715
to all 2.5886
to out 2.92171
to over 2.76804
to time 2.47121
to if 2.70459
to only 2.28276
to could 2.10164
to so 2.90916
to them 2.57358
to before 2.55955
to may 2.41982
to while 2.20163
to where 2.86454
to because 2.52687
to now 2.37492
to made 2.70547
to did 2.46001
to just 2.99638
to under 2.896
to then 2.54774
to any 2.77158
to through 2.96904
to back 2.96193
to well 2.6109
to still 2.66981
to both 2.5764
to even 2.71027
to part 2.98857
to end 2.86327
to make 2.40678
to another 2.85013
to way 2.52216
to much 2.96099
to next 2.67901
to should 2.34019
to take 1.7821
to set 2.74313
to however 2.53071
to same 2.43376
to go 2.81825
to took 2.78792
to own 2.81419
to came 2.61496
to help 2.89973
to without 2.35317
to come 2.39994
to put 2.21999
to far 2.98766
to although 2.67148
to again 2.86393
to close 2.7825
to must 2.56971
to whether 2.81301
to already 2.77596
to though 2.6475
to might 2.66855
to others 2.86539
to making 2.49761
to once 2.66168
to given 2.71987
to give 2.33441
to order 2.92796
to move 2.25746
to taken 2.22021
to return 2.34339
to having 2.81256
to full 2.86921
to keep 2.65815
to taking 2.30316
to likely 2.80921
to continue 2.71287
to able 2.60819
to clear 2.91587
to soon 2.3136
to wanted 2.76736
to instead 2.01045
to coming 2.67557
to hold 2.46114
to brought 2.83847
to decided 2.5344
to failed 2.71389
to allowed 2.48973
to means 2.72517
to turn 2.30545
to leave 2.62267
to either 2.40951
to needed 2.83983
to bring 2.56066
to present 2.98295
to allow 2.62896
to helped 2.93879
to probably 2.95227
to tried 2.89043
to adding 2.91091
to rest 2.49332
to immediately 2.39458
to step 2.92438
to begin 2.93291
to cannot 2.9901
to quickly 2.85804
to eventually 2.63562
to ready 2.9953
to upon 2.97375
to leaving 2.86796
to giving 2.42658
